,Unnamed: 0,scene_id,ts_start,ts_end,frame_start,frame_end,Team,#,Nat,SPTSS,FSTSS,TotalScore,Season,Event,synchrony_timeseries,normalized_distance_timeseries
0,0,0,00:13:16.133,00:13:22.667,23884,24080,Safina / Berulava,9,🇬🇪,66.11,126.33,192.44,21/22,OLY,"[[ 2.38840000e+04 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00  8.72959097e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.39140000e+04 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.39440000e+04  4.23786093e-02  4.51497136e-01 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00  1.85407088e-01
   4.19729826e-01 -1.00000000e+00  1.71551617e-01  4.55628147e-01
  -1.00000000e+00  3.17893996e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.40040000e+04 -1.00000000e+00  9.91279727e-01 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00  8.79552162e-01
  -1.00000000e+00 -1.00000000e+00  9.54082371e-01 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.40340000e+04 -1.00000000e+00  9.09665529e-01  6.69501319e-01
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00  5.23830967e-01
   6.93477026e-01  8.33129326e-01  9.59746334e-01  7.04832765e-01
   9.14201936e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.40640000e+04 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]","[[ 2.3884e+04 -1.0000e+00]
 [ 2.3914e+04 -1.0000e+00]
 [ 2.3944e+04 -1.0000e+00]
 [ 2.4004e+04 -1.0000e+00]
 [ 2.4034e+04 -1.0000e+00]
 [ 2.4064e+04 -1.0000e+00]]"
1,1,1,00:13:22.667,00:13:51.233,24080,24937,Safina / Berulava,9,🇬🇪,66.11,126.33,192.44,21/22,OLY, , 
2,2,2,00:13:51.233,00:15:44.167,24937,28325,Safina / Berulava,9,🇬🇪,66.11,126.33,192.44,21/22,OLY, , 
3,3,3,00:19:59.267,00:20:07.667,35978,36230,Knierim / Frazier,6,🇺🇸,74.23,138.45,212.68,21/22,OLY, , 
4,4,4,00:20:07.667,00:20:57.333,36230,37720,Knierim / Frazier,6,🇺🇸,74.23,138.45,212.68,21/22,OLY, , 
5,5,5,00:20:57.333,00:22:02.633,37720,39679,Knierim / Frazier,6,🇺🇸,74.23,138.45,212.68,21/22,OLY, , 
6,6,6,00:22:02.633,00:22:05.767,39679,39773,Knierim / Frazier,6,🇺🇸,74.23,138.45,212.68,21/22,OLY, , 
7,7,7,00:26:41.700,00:26:48.033,48051,48241,James / Radford,12,🇨🇦,63.03,117.96,180.99,21/22,OLY, , 
8,8,8,00:26:48.033,00:27:53.100,48241,50193,James / Radford,12,🇨🇦,63.03,117.96,180.99,21/22,OLY, , 
9,9,9,00:27:53.100,00:27:57.567,50193,50327,James / Radford,12,🇨🇦,63.03,117.96,180.99,21/22,OLY, , 
10,10,10,00:27:57.567,00:28:14.567,50327,50837,James / Radford,12,🇨🇦,63.03,117.96,180.99,21/22,OLY, , 
11,11,11,01:02:21.500,01:02:30.267,112245,112508,Miura / Kihara,7,🇯🇵,70.85,141.04,211.89,21/22,OLY, , 
12,12,12,01:02:30.267,01:03:16.267,112508,113888,Miura / Kihara,7,🇯🇵,70.85,141.04,211.89,21/22,OLY, , 
13,13,13,01:03:16.267,01:03:20.533,113888,114016,Miura / Kihara,7,🇯🇵,70.85,141.04,211.89,21/22,OLY, , 
14,14,14,01:03:20.533,01:03:52.100,114016,114963,Miura / Kihara,7,🇯🇵,70.85,141.04,211.89,21/22,OLY, , 
15,15,15,01:03:52.100,01:03:55.467,114963,115064,Miura / Kihara,7,🇯🇵,70.85,141.04,211.89,21/22,OLY, , 
16,16,16,01:03:55.467,01:04:05.700,115064,115371,Miura / Kihara,7,🇯🇵,70.85,141.04,211.89,21/22,OLY, , 
